,PupilMatchingRefAnonymous_AUT20,NCYearActual_AUT20,URN_AUT20,hh_id
1668,2,7,95064,hh_2998792
2651,3,7,95064,hh_2998254
3552,5,7,95065,hh_2602537
5072,7,8,95071,hh_1371592
5075,8,8,95062,hh_2624158
5078,9,8,132193,hh_3014803
5089,10,7,95063,hh_4657115
6325,16,7,132193,hh_3001151
6388,17,9,132193,hh_3008440
6769,18,7,95071,hh_2565397
8776,19,7,95064,hh_2984680
9237,22,7,95062,hh_2605213
9240,23,7,95065,hh_2624456
9242,24,7,95068,hh_2604515
9243,25,7,95065,hh_2605361
10398,28,7,95063,hh_2981133
10685,29,7,95063,hh_2980101
10687,31,7,95067,hh_3006521
10693,34,7,95062,hh_3000266
10694,35,7,95067,hh_2979346
10698,36,8,95066,hh_4995625
10699,37,7,95067,hh_1435292
10739,38,7,95064,hh_2996959
10788,39,7,95071,hh_2602897
10824,40,8,95071,hh_2603306
10834,41,7,95071,hh_2627183
14339,48,7,95068,hh_2624399
21943,51,8,95068,hh_3000154
21946,52,8,95065,hh_3006427
21952,56,8,95065,hh_3005613
21955,58,8,95067,hh_2981177
21956,59,8,95063,hh_2980538
21958,60,8,95063,hh_2979349
21960,62,7,95061,hh_2979158
21967,65,7,95063,hh_2980515
21968,66,12,95064,hh_3008774
23030,71,8,95067,hh_4575386
23057,72,7,95064,hh_2995459
24581,73,7,95071,hh_2583151
24671,75,6,95030,hh_2563246
26205,77,8,95064,hh_2994878
28554,79,7,95065,hh_2604659
28556,80,7,95071,hh_2560076
28561,83,7,95065,hh_2624656
28681,85,7,95071,hh_2621528
28689,86,7,95071,hh_2621533
28698,88,7,95067,hh_2620246
28705,89,7,95067,hh_2605363
29251,90,7,95063,hh_3012168
30563,91,7,95063,hh_4656672
30564,92,7,95067,hh_1434581
34911,96,8,95064,hh_3014130
34912,97,8,132193,hh_3000958
40370,99,7,132193,hh_3008324
40375,102,7,95064,hh_2996371
40376,103,7,95064,hh_3008069
43873,105,7,95067,hh_2979311
43977,107,7,95064,hh_2995685
48072,110,7,95063,hh_2605397
48073,111,7,132193,hh_3001150
49855,113,8,95062,hh_2981110
50016,114,8,95062,hh_2992772
51468,115,7,95067,hh_4576808
52031,121,7,132193,hh_3001832
52107,124,7,95061,hh_3006987
53280,128,7,95068,hh_2982391
54915,132,7,95063,hh_2982071
56471,135,6,95022,hh_2627255
56477,138,7,95062,hh_2603724
56505,140,7,95068,hh_2604444
56507,141,7,95062,hh_2560834
56517,143,7,95068,hh_2562054
56612,145,7,95065,hh_2624997
56614,146,7,95065,hh_2603189
56622,147,7,95071,hh_2622715
57068,150,7,95062,hh_2603095
57070,151,7,95062,hh_2604234
57100,156,7,95067,hh_4656143
57102,158,7,95063,hh_2979592
57222,160,7,95061,hh_2981762
57231,162,7,95071,hh_2621621
57239,163,7,95071,hh_2560183
57258,168,7,95063,hh_2566324
57952,169,7,95071,hh_2601780
57967,170,8,95066,hh_2623827
58055,171,8,95071,hh_1453445
60353,172,7,95071,hh_1382905
61655,173,7,95063,hh_3006108
63308,175,7,95064,hh_1694646
65174,176,8,95063,hh_2979808
66942,179,7,95064,hh_2998692
68787,181,7,95064,hh_4570913
68790,182,8,95063,hh_3008747
72062,185,7,95064,hh_3007971
74544,190,7,95068,hh_3007143
74546,192,7,95062,hh_3007148
74648,193,7,95064,hh_2995011
75745,195,7,95066,hh_2616157
75767,196,7,95064,hh_2997922
77476,199,7,95071,hh_4577357
77624,200,7,95068,hh_2603874
77655,201,7,95065,hh_2605113
78092,203,7,95064,hh_2998768
78312,207,7,95067,hh_2980139
78313,208,13,95067,hh_3010682
78316,210,7,95067,hh_2979282
78320,214,7,95068,hh_3000346
80023,219,7,95108,hh_3007896
80875,222,7,132193,hh_3014468
81084,223,7,132193,hh_3001724
82020,224,7,95062,hh_2604031
82258,226,7,95064,hh_2995598
82345,230,8,95063,hh_2979694
82794,233,9,95062,hh_2604443
82814,235,7,95067,hh_4656881
82929,239,7,95062,hh_2602545
85128,245,7,95062,hh_2620910
85381,246,6,125354,hh_4656484
86267,248,7,95066,hh_3005728
88112,250,7,95071,hh_2563091
88988,251,8,95071,hh_1342207
89370,254,7,95071,hh_2592747
89406,255,7,95062,hh_2602943
90345,257,7,95061,hh_2625026
90347,258,7,95065,hh_2604161
90377,260,7,95062,hh_2604443
90476,262,7,95071,hh_2603031
90516,265,7,95071,hh_2619181
90517,266,7,95071,hh_2626294
90522,267,7,95071,hh_2621983
90530,270,7,95065,hh_2604551
90536,272,7,95071,hh_2603355
91141,276,7,95064,hh_2999555
91207,277,7,95065,hh_2623063
91584,278,8,95066,hh_2621096
92098,279,6,95035,hh_2624239
92100,280,7,95062,hh_2602540
92103,282,7,95062,hh_2605056
92131,284,7,95068,hh_2602885
92207,285,7,95067,hh_3007107
92222,286,6,95022,hh_2623985
92251,287,7,95071,hh_2605165
92253,288,7,95071,hh_2625637
92254,289,7,95071,hh_2625683
92256,290,7,95071,hh_2627330
92931,293,7,95064,hh_1694646
93295,296,6,127257,hh_3010961
93678,298,7,95071,hh_2593787
96639,306,7,95064,hh_2998308
97571,310,7,95064,hh_2997532
98670,312,7,95071,hh_1395262
98860,313,7,132193,hh_3001285
103497,317,7,95067,hh_2562088
103657,319,7,95061,hh_3009056
103660,321,7,95108,hh_3000306
107143,323,7,95064,hh_2996708
109170,325,8,95071,hh_2570244
109673,326,7,95063,hh_1434848
109674,327,7,95071,hh_2978872
109675,328,7,95068,hh_3006634
109681,334,7,95061,hh_3007023
109682,335,7,95068,hh_2982113
109927,337,7,95064,hh_3007674
111090,338,7,95064,hh_2998308
111100,339,7,95064,hh_3000004
111108,341,7,95064,hh_2984221
111349,342,7,95067,hh_2981234
113043,343,7,95067,hh_1436214
113281,344,7,95062,hh_2994747
113282,345,8,95064,hh_2995736
114481,346,7,95065,hh_2624650
