,urn,component,size,size_hh,n
0,95064,1,1,605,1
0,95065,2,1,516,1
0,95071,3,1,503,1
0,95108,4,4,1466,1
1,95066,4,4,1466,1
2,95068,4,4,1466,1
3,95062,4,4,1466,1
0,132193,5,1,491,1
0,95063,6,1,450,1
0,95067,7,1,344,1
0,95061,8,1,378,1
0,136176,9,1,39,1
0,95018,10,1,16,1
0,129655,11,1,3,1
0,95104,12,1,11,1
0,95064,1,1,605,2
0,95065,2,1,516,2
0,95071,3,1,503,2
0,95062,4,1,552,2
0,132193,5,1,491,2
0,95063,6,1,450,2
0,95068,7,1,393,2
0,95067,8,1,344,2
0,95066,9,1,506,2
0,95061,10,1,378,2
0,95108,11,1,53,2
0,136176,12,1,39,2
0,95018,13,1,16,2
0,129655,14,1,3,2
0,95104,15,1,11,2
0,95064,1,1,605,3
0,95065,2,1,516,3
0,95071,3,1,503,3
0,95062,4,1,552,3
0,132193,5,1,491,3
0,95063,6,1,450,3
0,95068,7,1,393,3
0,95067,8,1,344,3
0,95066,9,1,506,3
0,95061,10,1,378,3
0,95108,11,1,53,3
0,136176,12,1,39,3
0,95018,13,1,16,3
0,129655,14,1,3,3
0,95104,15,1,11,3
0,95064,1,1,605,4
0,95065,2,1,516,4
0,95071,3,1,503,4
0,95062,4,1,552,4
0,132193,5,1,491,4
0,95063,6,1,450,4
0,95068,7,1,393,4
0,95067,8,1,344,4
0,95066,9,1,506,4
0,95061,10,1,378,4
0,95108,11,1,53,4
0,136176,12,1,39,4
0,95018,13,1,16,4
0,129655,14,1,3,4
0,95104,15,1,11,4
0,95064,1,1,605,5
0,95065,2,1,516,5
0,95071,3,1,503,5
0,95062,4,1,552,5
0,132193,5,1,491,5
0,95063,6,1,450,5
0,95068,7,1,393,5
0,95067,8,1,344,5
0,95066,9,1,506,5
0,95061,10,1,378,5
0,95108,11,1,53,5
0,136176,12,1,39,5
0,95018,13,1,16,5
0,129655,14,1,3,5
0,95104,15,1,11,5
0,95064,1,1,605,6
0,95065,2,1,516,6
0,95071,3,1,503,6
0,95062,4,1,552,6
0,132193,5,1,491,6
0,95063,6,1,450,6
0,95066,7,2,891,6
1,95068,7,2,891,6
0,95067,8,1,344,6
0,95061,9,1,378,6
0,95108,10,1,53,6
0,136176,11,1,39,6
0,95018,12,1,16,6
0,129655,13,1,3,6
0,95104,14,1,11,6
0,95064,1,1,605,7
0,95065,2,1,516,7
0,95071,3,1,503,7
0,95062,4,1,552,7
0,132193,5,1,491,7
0,95063,6,1,450,7
0,95108,7,2,445,7
1,95068,7,2,445,7
0,95067,8,1,344,7
0,95066,9,2,883,7
1,95061,9,2,883,7
0,136176,10,1,39,7
0,95018,11,1,16,7
0,129655,12,1,3,7
0,95104,13,1,11,7
0,95064,1,1,605,8
0,95065,2,1,516,8
0,95071,3,1,503,8
0,95062,4,1,552,8
0,132193,5,1,491,8
0,95063,6,1,450,8
0,95068,7,1,393,8
0,95067,8,1,344,8
0,95066,9,1,506,8
0,95061,10,1,378,8
0,95108,11,1,53,8
0,136176,12,1,39,8
0,95018,13,1,16,8
0,129655,14,1,3,8
0,95104,15,1,11,8
0,95064,1,1,605,9
0,95065,2,1,516,9
0,95071,3,1,503,9
0,95062,4,1,552,9
0,132193,5,1,491,9
0,95063,6,1,450,9
0,95066,7,2,891,9
1,95068,7,2,891,9
0,95067,8,1,344,9
0,95061,9,1,378,9
0,95108,10,1,53,9
0,136176,11,1,39,9
0,95018,12,1,16,9
0,129655,13,1,3,9
0,95104,14,1,11,9
0,95064,1,1,605,10
0,95065,2,1,516,10
0,95071,3,1,503,10
0,95062,4,1,552,10
0,132193,5,2,882,10
1,95068,5,2,882,10
0,95063,6,1,450,10
