,scenario,R0,median_x,low_x,high_x,median_y,low_y,high_y
0,0.0,1.1,132.0,132,132,1.0,1,1
1,0.0,1.2,132.0,132,132,1.0,1,2
2,0.0,1.3,132.0,132,132,1.0,1,2
3,0.0,1.4,132.0,132,132,1.0,1,2
4,0.0,1.5,132.0,132,132,1.0,1,2
5,1.0,1.1,132.0,132,145,1.0,1,2
6,1.0,1.2,132.0,132,169,1.0,1,2
7,1.0,1.3,132.0,132,169,2.0,1,3
8,1.0,1.4,132.0,132,214,2.0,1,3
9,1.0,1.5,147.0,132,243,2.0,1,3
10,2.0,1.1,132.0,132,168,1.0,1,2
11,2.0,1.2,132.0,132,168,1.0,1,2
12,2.0,1.3,132.0,132,174,2.0,1,2
13,2.0,1.4,132.0,132,174,2.0,1,3
14,2.0,1.5,132.0,132,225,2.0,1,3
15,3.0,1.1,197.0,197,315,1.0,1,2
16,3.0,1.2,197.0,197,338,2.0,1,3
17,3.0,1.3,225.0,197,393,2.0,1,4
18,3.0,1.4,286.0,197,437,2.0,1,4
19,3.0,1.5,311.0,197,542,3.0,2,5
20,4.0,1.1,255.0,255,255,1.0,1,2
21,4.0,1.2,255.0,255,395,2.0,1,3
22,4.0,1.3,266.0,255,395,2.0,1,4
23,4.0,1.4,301.0,255,519,2.0,2,4
24,4.0,1.5,326.0,255,609,3.0,2,6
25,5.0,1.1,891.0,605,1422,2.0,1,3
26,5.0,1.2,1233.5,605,2346,3.0,1,5
27,5.0,1.3,1861.0,919,3363,4.0,2,7
28,5.0,1.4,2393.0,1289,3930,6.0,3,9
29,5.0,1.5,3190.5,1780,4318,7.0,4,10
30,6.0,1.1,960.0,605,1559,3.0,2,5
31,6.0,1.2,1888.0,1195,3733,7.0,4,13
32,6.0,1.3,4070.5,1925,6198,18.0,8,27
33,6.0,1.4,5937.0,3913,7014,27.0,18,35
34,6.0,1.5,6814.0,5463,7410,34.0,27,38
